"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Significance"
-1.112262239824,10.9452999904191,-11.2352761155441,1.54920690014408e-20,1.41789612328786e-17,36.0861907224331,"TMEM178A","Downregulated"
-1.68806380733552,7.47390522250167,-10.55456386887,6.83344861296208e-19,4.59870993274075e-16,32.3941352331036,"WNK4","Downregulated"
-1.75060403812462,7.73787169148887,-10.2243890742726,4.28191703815146e-18,2.44936359374859e-15,30.6042331439154,"PPP1R16B","Downregulated"
-1.06946976976037,8.45029727669067,-10.1598249742927,6.12826644721515e-18,3.33859201377928e-15,30.2545331247505,"PLK2","Downregulated"
-1.49007492713572,11.5255686939605,-9.73089145501813,6.60384063252724e-17,2.74731777296101e-14,27.9355024467309,"TMEM45A","Downregulated"
-1.61490389592472,6.32130501531696,-9.39821954577534,4.14328655404951e-16,1.43640211580616e-13,26.1440973006236,"FAM65C","Downregulated"
-2.1400635705024,10.8505966823688,-9.38966455034574,4.34317934198704e-16,1.48322815707471e-13,26.0981365322585,"LTF","Downregulated"
-2.12652270265454,9.59211274450545,-9.33058438510939,6.01243643167382e-16,1.96529368561612e-13,25.7808994682569,"SEC14L3","Downregulated"
-1.18444474141104,10.0229327040109,-9.26933436701237,8.42061283741869e-16,2.67600058795801e-13,25.4523257847036,"SLIT2","Downregulated"
-1.1709985067257,12.7157970966392,-9.12872634698202,1.82228608896321e-15,5.55943040020897e-13,24.6993377367255,"PROS1","Downregulated"
-1.11264926041544,8.64824359216728,-9.1093695619551,2.02631498616588e-15,6.02131340239759e-13,24.5958276541414,"D2HGDH","Downregulated"
-1.08315988576874,11.6107189271643,-8.73966002331467,1.52621654570965e-14,4.15730485504554e-12,22.6267200640301,"LOC101928620","Downregulated"
-1.36987321367029,12.7312806614403,-8.50017804531202,5.59366794545639e-14,1.36158208787221e-11,21.3604213824063,"C3","Downregulated"
-1.28120019058284,8.82666835855494,-7.86543397012856,1.67436505658671e-12,2.91839313240814e-10,18.0486490304685,"ITM2A","Downregulated"
-2.15443477201317,7.5107774915431,-7.68801297229028,4.27184851131602e-12,6.83525634877076e-10,17.1367657311725,"ITLN1","Downregulated"
-1.32708395997561,5.21614377790059,-7.6158990289148,6.23902204244127e-12,9.64561238872288e-10,16.7680977315069,"CDH11","Downregulated"
-1.48661891852308,5.8296885579258,-7.52826929434937,9.87033260075667e-12,1.42938658378426e-09,16.321720175684,"SHISA9","Downregulated"
-1.22185456937029,7.98689763836393,-7.52413266542538,1.00859559235371e-11,1.45142614771354e-09,16.3006933185507,"SLC29A1","Downregulated"
-1.11101726553697,7.99892005268284,-7.49793335969972,1.15642795635506e-11,1.64349242666832e-09,16.167615123077,"TPM2","Downregulated"
-1.46523423485444,5.83909292238728,-7.41402792881765,1.79012668960417e-11,2.37434764611801e-09,15.7425460000945,"SEMA5B","Downregulated"
-1.13619410264676,7.3613951857632,-7.30644191742462,3.12694386843693e-11,3.88845666596224e-09,15.2000942447589,"EPB41L2","Downregulated"
-1.84569029374523,6.32103347519151,-7.29438184131549,3.32809660239238e-11,4.05054140209256e-09,15.1394730401044,"C8orf12","Downregulated"
-1.12047198440743,7.31175368031078,-7.17380065559456,6.19465106551146e-11,6.98225670098363e-09,14.5354883282876,"CSGALNACT1","Downregulated"
-1.5292354455666,5.46052064228821,-7.03572093547022,1.2558235239388e-10,1.31809624088274e-08,13.8487789708114,"MEGF6","Downregulated"
-1.05492740181883,6.81973573881781,-6.9759443877959,1.70248549120611e-10,1.72312001745729e-08,13.5531913780742,"PEG10","Downregulated"
-1.63971305425151,5.01374839772645,-6.88563855695042,2.69084459363203e-10,2.63116304046558e-08,13.1086569600297,"MT1M","Downregulated"
-1.24564828313222,6.21734970781422,-6.63574094750183,9.42926272873312e-10,7.99077631467194e-08,11.8918039675722,"KCNA1","Downregulated"
-1.01358791168029,8.57478194113206,-6.51714326525879,1.69794551922776e-09,1.3396790146707e-07,11.32150731943,"LOC283177","Downregulated"
-1.08771487969977,6.95308911282899,-6.50436615837737,1.80852153158698e-09,1.38867288677942e-07,11.2603554097094,"IGHA1","Downregulated"
-1.19294703911646,5.46290148675959,-6.40303450722563,2.97696328691155e-09,2.11540052695103e-07,10.7774193139295,"ZNF821","Downregulated"
-1.30465084320501,7.19641752521256,-6.33695316676913,4.11240898081223e-09,2.7756940970491e-07,10.4644758472159,"LOC100507560","Downregulated"
-1.0663866225839,4.74833839841655,-6.26654647999179,5.79247640275181e-09,3.75460772156839e-07,10.1328253298002,"LOC254028","Downregulated"
-1.43007595966946,4.94747724773293,-6.25276157296686,6.19299573357427e-09,3.94712911921763e-07,10.0681095970329,"MIER3","Downregulated"
-1.1792501390231,5.04247909369928,-6.23299153986161,6.81540904490767e-09,4.31976106250782e-07,9.97542161865205,"AC003989.4","Downregulated"
-1.36817017506578,6.14081868869265,-6.19331328720263,8.25614140378381e-09,5.13339052880373e-07,9.78984932094635,"THSD7A","Downregulated"
-1.65134075286185,8.67067223220802,-6.18866266710156,8.44349628256429e-09,5.20742960758366e-07,9.76813843762682,"SAA1","Downregulated"
-1.31047191415665,4.54958900788022,-6.07448246601235,1.46109204084621e-08,8.46360683205119e-07,9.23775951963061,"C1QTNF4","Downregulated"
