"","GSE_ID","title","phenotype","tissuetype"
"GSM549651","GSE11784","DGM-00167 [gene_expr]","Unknown","Unknown"
"GSM549667","GSE11784","DGM-10135 [gene_expr]","Unknown","Unknown"
"GSM549669","GSE11784","DGM-10144 [gene_expr]","Unknown","Unknown"
"GSM549670","GSE11784","DGM-10130 [gene_expr]","Unknown","Unknown"
"GSM549672","GSE11784","DGM-01607 [gene_expr]","Unknown","Unknown"
"GSM549673","GSE11784","DGM-01737 [gene_expr]","Unknown","Unknown"
"GSM549674","GSE11784","DGM-01749 [gene_expr]","Unknown","Unknown"
"GSM549675","GSE11784","DGM-01772 [gene_expr]","Unknown","Unknown"
"GSM549676","GSE11784","DGM-01081 [gene_expr]","Unknown","Unknown"
"GSM549677","GSE11784","DGM-01827 [gene_expr]","Unknown","Unknown"
"GSM549678","GSE11784","DGM-02093 [gene_expr]","Unknown","Unknown"
"GSM549679","GSE11784","DGM-02109 [gene_expr]","Unknown","Unknown"
"GSM549680","GSE11784","DGM-02124 [gene_expr]","Unknown","Unknown"
"GSM549782","GSE11784","DGM-00544 [gene_expr]","Unknown","Unknown"
"GSM114107","GSE11906","large airways, non-smoker 005, MAS5","Healthy Non-Smoker","large_airways"
"GSM114108","GSE11906","large airways, non-smoker 008, MAS5","Healthy Non-Smoker","large_airways"
"GSM114109","GSE11906","large airways, non-smoker 030, MAS5","Healthy Non-Smoker","large_airways"
"GSM114110","GSE11906","large airways, smoker 002, MAS5","Smoker","large_airways"
"GSM114112","GSE11906","large airways, smoker 023, MAS5","Smoker","large_airways"
"GSM114114","GSE11906","large airways, smoker 049, MAS5","Smoker","large_airways"
"GSM252799","GSE11906","large airways, non-smoker 002","Healthy Non-Smoker","large_airways"
"GSM252803...211","GSE11906","large airways, non-smoker 011","Healthy Non-Smoker","large_airways"
"GSM252805...212","GSE11906","large airways, non-smoker 035","Healthy Non-Smoker","large_airways"
"GSM252806...213","GSE11906","large airways, non-smoker 042","Healthy Non-Smoker","large_airways"
"GSM252807...214","GSE11906","large airways, non-smoker 044","Healthy Non-Smoker","large_airways"
"GSM252811","GSE11906","large airways, smoker 025","Smoker","large_airways"
"GSM252813...216","GSE11906","large airways, smoker 057","Smoker","large_airways"
"GSM252814...217","GSE11906","large airways, smoker 058","Smoker","large_airways"
"GSM252815...218","GSE11906","large airways, smoker 063","Smoker","large_airways"
"GSM252816...219","GSE11906","large airways, smoker 069","Smoker","large_airways"
"GSM252817...220","GSE11906","large airways, smoker 074","Smoker","large_airways"
"GSM252818...221","GSE11906","large airways, smoker 093","Smoker","large_airways"
"GSM252819...222","GSE11906","large airways, smoker 094","Smoker","large_airways"
"GSM252820...223","GSE11906","large airways, smoker 095","Smoker","large_airways"
"GSM252822...224","GSE11906","large airways, smoker 098","Smoker","large_airways"
"GSM252823...225","GSE11906","large airways, smoker 102","Smoker","large_airways"
"GSM252824","GSE11906","large airways, smoker 103","Smoker","large_airways"
"GSM252825...227","GSE11906","large airways, smoker 112","Smoker","large_airways"
"GSM252826...228","GSE11906","large airways, smoker 114","Smoker","large_airways"
"GSM252827...229","GSE11906","large airways, smoker 119","Smoker","large_airways"
"GSM256181...278","GSE11906","large airways, non-smoker 036","Healthy Non-Smoker","large_airways"
"GSM256182...279","GSE11906","large airways, non-smoker 038","Healthy Non-Smoker","large_airways"
"GSM256183...280","GSE11906","large airways, non-smoker 040","Healthy Non-Smoker","large_airways"
"GSM256184...281","GSE11906","large airways, non-smoker 041","Healthy Non-Smoker","large_airways"
"GSM256185...282","GSE11906","large airways, non-smoker 050","Healthy Non-Smoker","large_airways"
"GSM256186...283","GSE11906","large airways, non-smoker 047","Healthy Non-Smoker","large_airways"
