Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0030317~flagellated sperm motility	9	8.333333333333332	2.1012800743845389E-7	PACRG, CATSPERD, ARMC3, DNAH5, TEKT1, ROPN1L, DNAI1, TTLL9, ENKUR	85	145	19478	14.223286004056796	1.2123652328899226E-4	1.2103373228454944E-4	1.2103373228454944E-4
GOTERM_BP_DIRECT	GO:0003351~epithelial cilium movement involved in extracellular fluid movement	5	4.62962962962963	2.218781080212684E-6	SPAG17, SPAG6, DNAH5, ROPN1L, DNAI1	85	22	19478	52.080213903743314	0.0012794189483669172	6.390089511012529E-4	6.390089511012529E-4
GOTERM_CC_DIRECT	GO:0031514~motile cilium	8	7.4074074074074066	3.5356454909751667E-6	SPAG17, CATSPERD, MORN5, DNAH5, TEKT1, DAW1, ROPN1L, TTLL9	93	144	20795	12.422341696535247	5.160719432784067E-4	5.162042416823743E-4	4.914547232455482E-4
GOTERM_CC_DIRECT	GO:0005576~extracellular region	25	23.14814814814815	4.901133179883114E-5	SPAG17, CXCL6, PTGFR, WFDC6, DNAH5, ITLN1, NTS, DLL1, PTPRZ1, CLCA2, ROPN1L, DNAI1, ENPP5, CLCA4, SERPINB3, CHST9, SPAG6, DAW1, MUC5B, CP, LYPD6B, SCGB1A1, SAA1, FGFR3, LTF	93	2313	20795	2.4167979954348726	0.007130287813372771	0.003577827221314673	0.0034062875600187645
GOTERM_CC_DIRECT	GO:0005929~cilium	9	8.333333333333332	4.685871785400045E-4	FANK1, WDR49, ADH1C, DAW1, ROPN1L, LPAR3, PROM1, DNAI1, ENKUR	93	410	20795	4.908339889850511	0.06614094978352847	0.02280457602228022	0.02171120593902021
GOTERM_BP_DIRECT	GO:0007507~heart development	6	5.555555555555555	0.0021958864824998363	OXTR, MB, DNAH5, DAW1, ISL1, DNAI1	85	211	19478	6.516197379425704	0.7187242188754257	0.42161020463996857	0.42161020463996857
GOTERM_CC_DIRECT	GO:0016324~apical plasma membrane	8	7.4074074074074066	0.002416932791631473	SLC22A4, GABRP, OXTR, SLC23A1, PROM1, ATP12A, DLL1, CLCA4	93	414	20795	4.320814503142694	0.2976330636159499	0.08821804689454878	0.0839884145091937
GOTERM_BP_DIRECT	GO:0007368~determination of left/right symmetry	4	3.7037037037037033	0.0031686256926200026	DNAH5, DAW1, DLL1, DNAI1	85	68	19478	13.479584775086504	0.8397787733996076	0.4562820997372804	0.4562820997372804
GOTERM_CC_DIRECT	GO:0036064~ciliary basal body	7	6.481481481481481	0.00418732517683618	FANK1, ADH1C, AGBL2, CCDC170, DAW1, CCDC81, TTLL9	93	343	20795	4.5633091946456	0.45807790263627746	0.12226989516361644	0.1164076399160458
KEGG_PATHWAY	hsa00980:Metabolism of xenobiotics by cytochrome P450	4	3.7037037037037033	0.004730798667754128	ADH1C, GSTA1, UGT2A1, CYP2F1	38	79	8534	11.371085942704863	0.35355440463764276	0.43996427610113387	0.43996427610113387
