Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005576~extracellular region	10	76.92307692307693	4.126569895536538E-7	MMP12, FCN1, CD163, SCGB1A1, SPP1, LPL, CCL2, TREM2, DNAI1, LTF	13	2313	20795	6.915760417705943	2.3108529178306192E-5	2.3108791415004613E-5	2.3108791415004613E-5
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	9	69.23076923076923	1.601733531025331E-5	MMP12, FCN1, CD163, SCGB1A1, SPP1, LPL, CCL2, TREM2, LTF	13	2217	18049	5.636202768814406	2.562465806607017E-4	2.5627736496405297E-4	2.5627736496405297E-4
GOTERM_CC_DIRECT	GO:0005615~extracellular space	7	53.84615384615385	2.982022535730056E-4	MMP12, FCN1, SCGB1A1, SPP1, LPL, CCL2, LTF	13	1867	20795	5.9974867125375955	0.016563114510697474	0.008349663100044157	0.008349663100044157
GOTERM_BP_DIRECT	GO:0006959~humoral immune response	3	23.076923076923077	6.654894344031661E-4	CCL2, TREM2, LTF	13	63	19478	71.34798534798534	0.21362512531897837	0.24024168581954297	0.24024168581954297
GOTERM_MF_DIRECT	GO:0097110~scaffold protein binding	3	23.076923076923077	8.400198935556555E-4	CD163, TREM2, KRT5	13	70	19253	63.471428571428575	0.08137534133542512	0.0848420092491212	0.0848420092491212
GOTERM_BP_DIRECT	GO:0010891~negative regulation of triglyceride storage	2	15.384615384615385	0.003691262511779239	TREM2, PPARG	13	6	19478	499.43589743589746	0.7368447781723395	0.40659244013212187	0.40659244013212187
GOTERM_MF_DIRECT	GO:0071813~lipoprotein particle binding	2	15.384615384615385	0.004976274828829482	LPL, TREM2	13	8	19253	370.25	0.39580511099876015	0.25130187885588884	0.25130187885588884
GOTERM_BP_DIRECT	GO:0034351~negative regulation of glial cell apoptotic process	2	15.384615384615385	0.005532206182533591	CCL2, TREM2	13	9	19478	332.957264957265	0.8650257350376688	0.40659244013212187	0.40659244013212187
GOTERM_BP_DIRECT	GO:1904179~positive regulation of adipose tissue development	2	15.384615384615385	0.0061451608040389745	LPL, PPARG	13	10	19478	299.6615384615385	0.8919593059263264	0.40659244013212187	0.40659244013212187
GOTERM_BP_DIRECT	GO:0007165~signal transduction	5	38.46153846153847	0.006476552934141931	SCGB1A1, SPP1, CCL2, TREM2, PPARG	13	1308	19478	5.727475888026347	0.9042140883407966	0.40659244013212187	0.40659244013212187
GOTERM_BP_DIRECT	GO:0010887~negative regulation of cholesterol storage	2	15.384615384615385	0.006757769088068508	TREM2, PPARG	13	11	19478	272.4195804195804	0.9135193802757787	0.40659244013212187	0.40659244013212187
GOTERM_BP_DIRECT	GO:0060100~positive regulation of phagocytosis, engulfment	2	15.384615384615385	0.007981947354124311	TREM2, PPARG	13	13	19478	230.508875739645	0.9445927307996854	0.4116404278341252	0.4116404278341252
UP_KW_DOMAIN	KW-0732~Signal	9	69.23076923076923	0.009859874920624196	MMP12, FCN1, CD163, SCGB1A1, SPP1, LPL, CCL2, TREM2, LTF	13	4415	14625	2.293318233295583	0.08531839639578831	0.08873887428561776	0.08873887428561776
GOTERM_MF_DIRECT	GO:0034185~apolipoprotein binding	2	15.384615384615385	0.011164694712758761	LPL, TREM2	13	18	19253	164.55555555555557	0.6782486577545892	0.37587805532954494	0.37587805532954494
BIOCARTA	h_LDLpathway:Low-density lipoprotein (LDL) pathway during atherogenesis	2	15.384615384615385	0.014728199836710889	LPL, CCL2	5	6	1622	108.13333333333334	0.13789427602999094	0.07343663138367554	0.07343663138367554
GOTERM_BP_DIRECT	GO:1905563~negative regulation of vascular endothelial cell proliferation	2	15.384615384615385	0.015298019091823609	CCL2, PPARG	13	25	19478	119.8646153846154	0.9961714265658417	0.6866738369360613	0.6866738369360613
GOTERM_BP_DIRECT	GO:0010875~positive regulation of cholesterol efflux	2	15.384615384615385	0.017119292333586014	TREM2, PPARG	13	28	19478	107.02197802197803	0.9980375768891236	0.6866738369360613	0.6866738369360613
UP_KW_PTM	KW-0325~Glycoprotein	9	69.23076923076923	0.020582178273586292	MMP12, FCN1, CD163, SPP1, LPL, CCL2, TREM2, PPARG, LTF	13	4844	14316	2.0460522136822714	0.17069932180432945	0.12392284365872606	0.12392284365872606
BIOCARTA	h_PPARgPathway:Role of PPAR-gamma Coactivators in Obesity and Thermogenesis	2	15.384615384615385	0.02203098941510266	LPL, PPARG	5	9	1622	72.0888888888889	0.19970347174944436	0.07343663138367554	0.07343663138367554
BIOCARTA	h_vobesityPathway:Visceral Fat Deposits and the Metabolic Syndrome	2	15.384615384615385	0.02203098941510266	LPL, PPARG	5	9	1622	72.0888888888889	0.19970347174944436	0.07343663138367554	0.07343663138367554
GOTERM_MF_DIRECT	GO:0005102~signaling receptor binding	3	23.076923076923077	0.02294545639153709	FCN1, LPL, CCL2	13	384	19253	11.570312500000002	0.9041041801034345	0.5103409138946888	0.5103409138946888
UP_KW_PTM	KW-1015~Disulfide bond	8	61.53846153846154	0.024784568731745213	MMP12, FCN1, CD163, SCGB1A1, LPL, CCL2, TREM2, LTF	13	3956	14316	2.2269580773119704	0.20217970026992282	0.12392284365872606	0.12392284365872606
GOTERM_MF_DIRECT	GO:0001530~lipopolysaccharide binding	2	15.384615384615385	0.025264401677954896	TREM2, LTF	13	41	19253	72.2439024390244	0.9245655810095049	0.5103409138946888	0.5103409138946888
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	7	53.84615384615385	0.02667126866177348	MMP12, FCN1, CD163, LPL, CCL2, TREM2, LTF	13	4423	20675	2.517000295657316	0.9887517698089616	1.0	1.0
GOTERM_BP_DIRECT	GO:0007566~embryo implantation	2	15.384615384615385	0.02738164529913943	SCGB1A1, SPP1	13	45	19478	66.591452991453	0.9999556157949692	0.9063035536488296	0.9063035536488296
