Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0005518~collagen binding	5	6.944444444444445	1.1589937455074381E-4	MMP12, SPARC, LUM, COL6A2, AEBP1	70	70	19253	19.645918367346937	0.02991093872042394	0.019725127264549575	0.019122833302273254
GOTERM_MF_DIRECT	GO:0048020~CCR chemokine receptor binding	4	5.555555555555555	1.5057349056908073E-4	CCL13, CCL8, CCL7, CCL2	70	29	19253	37.93694581280788	0.03868508146779659	0.019725127264549575	0.019122833302273254
GOTERM_MF_DIRECT	GO:0005178~integrin binding	6	8.333333333333332	2.725253569370387E-4	COL3A1, ITGAM, SFRP2, GPNMB, SPP1, ITGA5	70	160	19253	10.314107142857143	0.06892120889154962	0.02289464410578224	0.02219557100331561
GOTERM_MF_DIRECT	GO:0071813~lipoprotein particle binding	3	4.166666666666666	3.4953655123331665E-4	LPL, TREM2, CD36	70	8	19253	103.14107142857142	0.08752499454564777	0.02289464410578224	0.02219557100331561
GOTERM_MF_DIRECT	GO:0008009~chemokine activity	4	5.555555555555555	8.111179795762724E-4	CCL13, CCL8, CCL7, CCL2	70	51	19253	21.57198879551821	0.19151984345005735	0.04088678532405622	0.0396383338637797
GOTERM_MF_DIRECT	GO:0005201~extracellular matrix structural constituent	5	6.944444444444445	9.363385952073944E-4	SRPX, COL3A1, SPARC, LUM, AEBP1	70	121	19253	11.365407319952775	0.21763636123567287	0.04088678532405622	0.0396383338637797
GOTERM_MF_DIRECT	GO:0030169~low-density lipoprotein particle binding	3	4.166666666666666	0.0016627117060738605	COLEC12, TREM2, CD36	70	17	19253	48.536974789915966	0.3533777689859804	0.062232923855907354	0.06033268190610865
GOTERM_MF_DIRECT	GO:0038024~cargo receptor activity	3	4.166666666666666	0.003320148809860785	ITGAM, MRC1, CD36	70	24	19253	34.38035714285714	0.5816037196072069	0.10226208377500533	0.09913957740019601
GOTERM_MF_DIRECT	GO:0001540~amyloid-beta binding	4	5.555555555555555	0.003527247647962295	ITGAM, TREM2, CD36, FCGR2B	70	85	19253	12.943193277310924	0.6037748068690256	0.10226208377500533	0.09913957740019601
GOTERM_MF_DIRECT	GO:0008201~heparin binding	5	6.944444444444445	0.003903132968511654	CCL8, CCL7, GPNMB, ADAMTS1, LPL	70	179	19253	7.682761372705506	0.6410677972380188	0.10226208377500533	0.09913957740019601
GOTERM_MF_DIRECT	GO:0005044~scavenger receptor activity	3	4.166666666666666	0.0045053552594195865	COLEC12, CD163, CD36	70	28	19253	29.46887755102041	0.6936632093881909	0.10730937072435742	0.10403274871750681
GOTERM_MF_DIRECT	GO:0030020~extracellular matrix structural constituent conferring tensile strength	3	4.166666666666666	0.011346739907885395	COL3A1, COL15A1, COL6A2	70	45	19253	18.336190476190477	0.949704546270194	0.24552149151859778	0.23802465208291546
GOTERM_MF_DIRECT	GO:0005102~signaling receptor binding	6	8.333333333333332	0.01218236408298386	FCN1, CCL13, CRTAM, LPL, CCL2, CYTL1	70	384	19253	4.297544642857143	0.959699058710312	0.24552149151859778	0.23802465208291546
GOTERM_MF_DIRECT	GO:0031727~CCR2 chemokine receptor binding	2	2.7777777777777777	0.021314143072497727	CCL7, CCL2	70	6	19253	91.68095238095238	0.9964637103292666	0.39887896321388605	0.38669945288674445
GOTERM_MF_DIRECT	GO:0106256~hydroperoxy icosatetraenoate dehydratase activity	2	2.7777777777777777	0.024822706699505065	CYP1A1, CYP1B1	70	7	19253	78.58367346938775	0.9986199397632023	0.43356994368468843	0.42033116677828575
GOTERM_MF_DIRECT	GO:0101020~estrogen 16-alpha-hydroxylase activity	2	2.7777777777777777	0.031802687721122914	CYP1A1, CYP1B1	70	9	19253	61.12063492063492	0.9997898474577557	0.49013554017260025	0.4751695694803071
GOTERM_MF_DIRECT	GO:0101021~estrogen 2-hydroxylase activity	2	2.7777777777777777	0.031802687721122914	CYP1A1, CYP1B1	70	9	19253	61.12063492063492	0.9997898474577557	0.49013554017260025	0.4751695694803071
GOTERM_MF_DIRECT	GO:0001618~virus receptor activity	3	4.166666666666666	0.03497558150779423	CLEC5A, MRC1, ITGA5	70	82	19253	10.062543554006968	0.9999110726614515	0.5090890197245604	0.49354431683220745
GOTERM_MF_DIRECT	GO:0001851~complement component C3b binding	2	2.7777777777777777	0.038733427412494185	ITGAM, VSIG4	70	11	19253	50.00779220779221	0.9999680047026475	0.5341135780038672	0.5178047664617643
GOTERM_MF_DIRECT	GO:0030246~carbohydrate binding	4	5.555555555555555	0.041543802992057906	FCN1, CLEC5A, MRC1, SFTPA1	70	214	19253	5.140987983978638	0.999985142878873	0.5442238191959585	0.5276062979991354
GOTERM_MF_DIRECT	GO:0008035~high-density lipoprotein particle binding	2	2.7777777777777777	0.045615268075117656	TREM2, CD36	70	13	19253	42.31428571428571	0.9999951297356611	0.5691047731276584	0.5517275281466612
GOTERM_MF_DIRECT	GO:0008395~steroid hydroxylase activity	2	2.7777777777777777	0.052448549679660846	CYP1A1, CYP1B1	70	15	19253	36.672380952380955	0.9999992588027857	0.6246145461850519	0.6055423463015388
GOTERM_MF_DIRECT	GO:0034185~apolipoprotein binding	2	2.7777777777777777	0.06260816177995174	LPL, TREM2	70	18	19253	30.56031746031746	0.999999956010809	0.7131886254933634	0.6914118735699017
