"Gene","CompositeScore","top5_scores.Closeness.centrality..Latora.","top5_scores.Harmonic.Centrality","top5_scores.Decay.Centrality","top5_scores.Residual.Closeness.Centrality","top5_scores.Dangalchev.Closeness.Centrality"
"CCL2",2.75042217704349,63.1190476190476,63.1190476190476,28.875,28.875,27.875
"ITGAM",2.49315593966669,60.8690476190476,60.8690476190476,27.6875,27.6875,26.6875
"SPP1",2.39119785646598,59.75,59.75,27.3125,27.3125,26.3125
"CD163",1.89812919101128,56.1190476190476,56.1190476190476,24.75,24.75,23.75
"LTF",1.83145419838275,55.25,55.25,24.5625,24.5625,23.5625
"MRC1",1.81911134392867,55.4523809523809,55.4523809523809,24.375,24.375,23.375
"CYBB",1.73495119516029,54.5357142857143,54.5357142857143,24.0625,24.0625,23.0625
"MMP12",1.60043756137652,53.3690476190476,53.3690476190476,23.4375,23.4375,22.4375
"TREM2",1.58536716693332,53.3690476190476,53.3690476190476,23.3125,23.3125,22.3125
"PPARG",1.58022486524755,53.1190476190476,53.1190476190476,23.375,23.375,22.375
"CD36",1.50417603432373,52.6595238095238,52.6595238095238,22.9375,22.9375,21.9375
"KRT5",1.44812599316042,52,52,22.75,22.75,21.75
"LUM",1.43909250295882,52.1190476190476,52.1190476190476,22.625,22.625,21.625
"SCGB1A1",1.4303774946901,51.65,51.65,22.75,22.75,21.75
"TEKT1",1.36948509694263,52.5666666666667,52.5666666666667,21.859375,21.859375,20.859375
"COL3A1",1.31633989936579,51.0357142857143,51.0357142857143,22.0625,22.0625,21.0625
"DNAI1",1.18984156332275,50.25,50.25,21.34375,21.34375,20.34375
"MUC5B",1.15902863370956,49.7166666666667,49.7166666666667,21.3125,21.3125,20.3125
"FCN1",1.07513182727165,49.102380952381,49.102380952381,20.875,20.875,19.875
"LPL",1.05907366198898,48.7857142857143,48.7857142857143,20.875,20.875,19.875
"ITGA5",1.03886096586001,48.5357142857143,48.5357142857143,20.8125,20.8125,19.8125
"COL6A2",0.970127722148931,48.3690476190476,48.3690476190476,20.3125,20.3125,19.3125
"PROM1",0.936321058395938,47.7023809523809,47.7023809523809,20.3125,20.3125,19.3125
"FCGR2B",0.907316348235031,47.5761904761905,47.5761904761905,20.125,20.125,19.125
"ACP5",0.831459557518861,47.2690476190476,47.2690476190476,19.625,19.625,18.625
"SPARC",0.812092027983713,47.0357142857143,47.0357142857143,19.5625,19.5625,18.5625
"SAA1",0.773815203271737,46.652380952381,46.652380952381,19.40625,19.40625,18.40625
"CHIT1",0.771666635725763,46.5357142857143,46.5357142857143,19.4375,19.4375,18.4375
"MS4A4A",0.757732320008057,46.4095238095238,46.4095238095238,19.375,19.375,18.375
"PTX3",0.660675062323451,45.5357142857143,45.5357142857143,18.9375,18.9375,17.9375
"CCL7",0.631670352162538,45.4095238095238,45.4095238095238,18.75,18.75,17.75
"ARMC3",0.623404309836499,46.2309523809524,46.2309523809524,18.3359375,18.3359375,17.3359375
"CCL13",0.613606223579537,45.2761904761905,45.2761904761905,18.65625,18.65625,17.65625
"TIMP3",0.599696625842838,45.0761904761905,45.0761904761905,18.625,18.625,17.625
"CCDC114",0.594377020559729,45.9,45.9,18.234375,18.234375,17.234375
"VSIG4",0.592232730744055,45.2261904761905,45.2261904761905,18.5,18.5,17.5
"SPAG6",0.562403294240029,45.5666666666667,45.5666666666667,18.109375,18.109375,17.109375
"GPNMB",0.552819827306574,44.9690476190476,44.9690476190476,18.28125,18.28125,17.28125
"SFTPA1",0.543157928699808,45.15,45.15,18.125,18.125,17.125
"CCL8",0.529130444698476,44.5761904761905,44.5761904761905,18.25,18.25,17.25
"DNAH5",0.515359173477117,45.2333333333333,45.2333333333333,17.859375,17.859375,16.859375
"MB",0.441512623791581,44.1857142857143,44.1857142857143,17.6875,17.6875,16.6875
"CP",0.436370322105812,43.9357142857143,43.9357142857143,17.75,17.75,16.75
"CLEC5A",0.404371877805105,43.6761904761905,43.6761904761905,17.59375,17.59375,16.59375
"LY96",0.354191418656758,42.9095238095238,42.9095238095238,17.5,17.5,16.5
"WDR38",0.319093951696782,43.647619047619,43.647619047619,16.8984375,16.8984375,15.8984375
"SPAG17",0.313588722801468,43.4833333333333,43.4833333333333,16.921875,16.921875,15.921875
"PLA2G7",0.299683402795069,42.7261904761905,42.7261904761905,17.125,17.125,16.125
"HK3",0.276161342413613,42.5595238095238,42.5595238095238,17,17,16
"CAPSL",0.272049830933876,43.3142857142857,43.3142857142857,16.6484375,16.6484375,15.6484375
"FABP3",0.254787849578131,42.5095238095238,42.5095238095238,16.84375,16.84375,15.84375
"SFTPC",0.254590105730084,43.1,43.1,16.59375,16.59375,15.59375
"GPR183",0.236581116749489,42.0761904761905,42.0761904761905,16.875,16.875,15.875
"DAW1",0.207739451084925,42.7333333333333,42.7333333333333,16.359375,16.359375,15.359375
"C11orf88",0.114014136768657,41.9809523809524,41.9809523809524,15.8984375,15.8984375,14.8984375
"CXCL6",0.0677721632330074,40.9761904761905,40.9761904761905,15.9375,15.9375,14.9375
"CA2",0.0356501290272689,41.0857142857143,41.0857142857143,15.625,15.625,14.625
"C20orf85",0.0114742293045896,41.147619047619,41.147619047619,15.3984375,15.3984375,14.3984375
