"","CCL2","SPP1","CD163","LTF","MMP12","TREM2","PPARG","KRT5","SCGB1A1","TEKT1","DNAI1","FCN1","LPL"
"GSM101096",10.4368858372776,3.51603692907186,10.0723390648056,7.98397782917737,10.4028190411719,8.75364289771809,7.20803043095091,5.65442653309814,9.82837492601645,7.94292184461167,6.72165010637007,6.95197855429624,8.99990957593033
"GSM101097",7.52757627908583,2.85746432997529,8.15257446616899,7.01849363011272,5.63498809938063,7.73726327337,7.15410357571104,6.76960861175811,9.93739999075407,8.31818507877615,7.17313324343417,5.70693093760163,6.93335486986345
"GSM101098",6.76401018659559,2.65121527382733,8.25138911319849,7.44229566122599,5.71331569352545,7.56993431904591,6.98077035626826,7.56136199257889,9.93739999075407,7.73801449297037,6.93589650406702,5.5680889263263,6.54116626923596
"GSM101100",6.78081039981431,2.68932360872494,7.44670688111563,8.14381521174744,5.22450982444442,7.3177211449935,6.60844485999359,7.55024325425935,9.98663623842202,8.27018676361594,7.52080020012999,5.78759676371314,6.38998697661248
"GSM101101",6.71217998390218,3.32462499025415,7.51726446366588,7.37634271999251,5.65834278895251,7.46079711037766,6.8182610029135,7.13365326411197,10.0464169116779,8.29754737824446,6.68313612765724,5.50935751684517,6.13381891792248
"GSM101102",6.88820170023707,3.12573811012029,8.38676717887433,8.00389927086681,5.13947217264971,7.78071988698721,7.22368570715427,6.37250105715528,9.98663623842202,8.37566105299873,6.85613293022359,5.44658694792096,6.6506827399442
"GSM101103",7.21247248023652,3.19318102321586,8.59711297553415,7.28965096175651,5.09847123143511,8.03987780508948,7.6694704765669,6.99270212655164,10.0464169116779,8.37566105299873,7.21381430853455,5.81785245214456,8.06253858125292
"GSM101104",6.96939571056096,3.09203277162675,8.5602019588982,7.20397813634053,5.1147204181907,7.81142549988188,7.40975666087828,6.12262036445349,10.1372391391143,8.13757466518752,7.66999940327005,5.3728751136078,6.71437423597648
"GSM101105",6.62957481760031,2.91133390168855,6.88959323992032,7.54499152723694,4.67456907832382,7.23297119479389,6.51783838919593,7.01556130937776,9.98663623842202,8.39756368915813,7.71111365287897,5.58115439197951,5.68450292469419
"GSM101106",6.66839521967555,2.71463763615587,6.96194996432536,7.16150013141883,3.78422446782202,6.94292478894914,6.65757388334612,7.12430982895041,10.0464169116779,8.53636678875342,7.74255636309406,5.49523877993055,5.98029136797237
"GSM190149",5.1083728702629,1.64107868615068,7.33837582890146,8.14202422489736,6.64688892576638,5.87101237110776,6.23568346933101,7.0489753128267,10.1372391391143,8.13757466518752,6.94103692102324,6.05321756447329,7.31585075092654
"GSM190150",7.27845492040544,3.21641069688964,7.90307235211802,7.52598598428907,6.39931455888379,7.59536448071486,6.59846591323722,6.83622061671995,9.98663623842202,7.72592777363937,7.02695047470577,6.48627182749637,6.84162227605045
"GSM190151",5.61646401923864,3.1123324762091,8.44673163597626,7.5934330433478,5.26547979146695,6.7322741117302,7.86801214088795,7.38015923217452,10.1372391391143,8.13398029488398,7.305354296766,5.55285476519677,7.80869339193636
"GSM190153",6.83322000877947,2.38023274134632,8.45015816486191,7.86979321076945,6.6729464921931,4.97505313380396,7.59770272047878,5.89777416572807,10.1372391391143,7.99158016296455,5.97409272003145,5.30732147274004,7.81983439631648
"GSM190154",7.06833054618329,4.89297847309047,9.42055438258118,6.99641648866697,5.0124491910465,7.29887206364954,7.60290071330668,6.61129717569678,10.1372391391143,8.41482864131169,7.7951693434633,6.14648422580205,8.55328213228701
"GSM190155",7.62588421475636,3.91833846376503,8.29450039278478,7.35003843777889,6.13444223078875,5.82937150227795,6.0828312175281,6.49538285359316,10.1372391391143,8.09854502222583,7.73307132838803,6.14668263210361,6.97492215275889
"GSM190156",8.12771697426862,5.23347129972647,9.07928547150405,7.28965096175651,6.79213613341413,7.56214065508206,7.73654881713556,6.41012619694096,9.93739999075407,8.15531272722839,7.62883673441242,6.99937709935326,8.8826507379589
"GSM252855",5.03161688984344,2.55071274911365,8.80584680774411,8.113397025746,6.04161631374311,6.56383614926589,7.24041984217622,8.12620818259185,10.0464169116779,8.123220293198,7.73537384743953,6.78987603818206,8.05352403701205
"GSM252867",7.01420857076783,2.49480348546826,7.04744870107557,7.84134066452515,5.11387664897647,6.38796959738042,4.80998446075391,7.06492923966221,10.0464169116779,8.23470983855013,7.80996320209444,6.86778250161868,6.27060964866829
"GSM254149",5.87273776431735,2.14365869176609,7.86849493228454,6.4589948237732,5.09933950956782,6.79697797886083,6.55698320639583,7.53983110009379,9.66162624757388,8.06612580248927,7.45478473688275,3.99363172630818,6.3320165718318
"GSM254150",6.62502472940919,2.93062460868728,8.35022972653353,8.26607073820823,6.20314883813556,6.93222150926003,7.6514709008642,4.41597275070625,10.1372391391143,8.02033864170687,6.88156908485091,7.38348841607728,8.54267132481082
"GSM254151",7.29861394637832,4.65345811720639,8.86244536663135,8.16814286651953,5.70070366587263,7.44120600898557,7.78881846768717,6.85229883742013,9.88643903170642,8.08512812894086,7.2928991679523,6.76756152553223,8.46329289297393
"GSM254152",7.10482769922444,2.84573095148022,8.52552795662719,7.93914522010962,6.48239410219656,6.81006795249715,7.37582537401263,5.21677980704099,10.0464169116779,8.19412880435797,7.34163699463623,5.9962565368918,7.0226178762513
"GSM298219",4.968519643844,5.63751398414525,7.51229920069338,8.24093113457061,5.73826628175222,4.88574592889764,5.3962373723328,7.38528459015834,9.82837492601645,8.24243810089712,7.71355520772671,5.64658401455916,6.36805669465481
"GSM298220",7.05060054870541,5.22474108927957,8.64114228061071,7.97246141146695,5.73162025282016,7.34051030106846,7.96699890131598,5.8318590243257,9.98663623842202,8.18162881782312,7.63077421731447,7.22427713647146,7.74525241623057
"GSM298221",7.37323770215621,4.10045406138954,8.48244169877147,8.13165187582911,5.12631793813858,5.49909312484434,5.09556941819245,6.72920456795447,9.93739999075407,8.10911891240074,7.22576218536332,6.44347952554656,7.13242087219339
"GSM298222",6.4687279266767,5.37297393443331,8.75767950229994,7.4923092141036,5.37241379606227,7.43204785322555,7.4886590886436,6.17248019037598,9.88643903170642,7.97029623475231,7.79038376564745,6.34699160959372,7.86596677709175
"GSM298223",6.81864254205452,4.43634706800594,8.7517839141893,7.50299629008667,5.61055757861045,7.5056851450649,7.39049851307601,8.42722604945813,9.93739999075407,7.89898015581082,7.39366435089447,6.28740697413736,6.98136702541979
"GSM298224",8.32209421221015,5.72645640595054,9.25194928388165,7.71818598253259,8.96063523825618,7.69203477541197,7.0327282097462,6.17372708800537,10.1372391391143,8.30984758457533,6.96546644464671,7.41668687880975,7.24154179038892
"GSM298225",6.05859124090744,4.23669636011957,8.02886597195123,6.45027245585074,4.78848890317495,5.99560180653208,6.66793174401038,8.47151576598171,9.93739999075407,7.72592777363937,6.90274040707203,5.56701423347504,7.45335379928258
"GSM298226",6.88513626320372,3.65143996883522,8.54620973640062,7.71021152638205,6.13342032356485,6.71743380301684,7.42628604118995,5.96278325613722,10.1372391391143,8.43285694044523,7.24280963466423,6.75938643368767,7.72431887390679
"GSM298227",6.93660003375556,4.87928574587605,8.24835032764608,7.2874809817742,5.80273183689828,6.54910807634401,7.0208752662211,6.68991313478609,9.93739999075407,7.86453490518999,7.46441155777975,6.09751220330687,7.59198406660521
"GSM298228",6.97492081280057,5.11990232547507,7.97718030758898,7.00276120711623,6.9091039089157,6.82179193860272,7.15050195804162,6.16735724140815,9.98663623842202,8.20203575738984,7.31991661324717,6.06583828696255,6.34811587074419
"GSM298229",6.67883990222395,5.31445347272786,8.09780897455107,7.5713599484656,6.00651490062463,7.05883514439925,7.50538452260826,6.99024031434145,9.88643903170642,8.1631385398226,6.70037745628981,6.31576108760622,6.36134900645961
"GSM300859",7.25090633986174,4.73352142920703,8.99684255284564,7.36077504929374,6.50220996962222,6.73296441540632,7.95369746839057,7.78169446412268,9.76549656609697,7.94888959670296,7.17162513829468,5.90879016873152,8.32443926794432
"GSM302396",5.35504376772011,2.66409698904016,9.00177574892129,7.27589790286567,6.55403082023264,7.57987744042253,7.06190658425742,6.63226709154636,9.98663623842202,7.56175044202167,6.51260035160025,6.66674332785398,7.60964603806909
"GSM302397",6.22357606286023,2.69715180342538,7.95771350429778,7.49889225194318,6.33379929015335,4.7014578588398,7.06269350714807,4.56084316845363,10.1372391391143,7.86759527889696,6.80750710045857,6.6303481659993,7.69787663074788
"GSM350871",6.22877417866535,4.64621280133833,8.53533249428043,8.60522717135168,5.69167578215279,7.53786351455176,6.49255125550952,7.11975410846545,9.93739999075407,7.96380786512505,7.95182283694817,6.74201901016146,8.15900926998415
"GSM350873",6.99324521138978,2.57491808604676,8.67013239254339,7.39651017042764,6.3658850244808,5.10215199683093,7.50996757059416,7.72006650482032,9.88643903170642,7.69699948782306,7.14491785271252,7.22576207262167,7.9592033649631
"GSM350955",5.53214426393457,2.75896062453707,7.60013463281393,7.72675984397237,6.17605263625788,7.61638246495919,6.20833015903445,6.67762334098678,10.1372391391143,8.47024947642951,8.0567029491321,4.49508896208484,7.67407586819881
"GSM350956",4.95038565305188,4.0909111545966,7.68334382503614,7.08547762651114,5.20999438475374,6.3462803403962,5.16664039881336,6.58171700149906,9.93739999075407,7.90414916215522,7.49324881110264,5.07392187622253,6.38309545905221
"GSM410161",5.13126362085944,2.36332994539504,7.78080046392563,6.4974038948489,4.67685667586784,6.45638061719108,6.526928213085,6.30731830503094,10.0464169116779,8.01737469771525,7.52286960275328,3.30051244326311,7.79080571494365
"GSM410162",4.97837300866041,4.63927429048502,8.20561930650806,6.90342535508676,5.42503459887369,7.15985309494277,5.88232666189397,6.67170177173726,9.93739999075407,8.02717074271768,7.58568541357952,6.01480302154936,8.05529515211291
"GSM410163",7.18961207474164,3.87142357194436,7.10024498483206,7.18286319648329,5.48088581912841,5.25082237793691,5.85020551657379,6.62531220409901,9.88643903170642,8.11584342468835,7.47761565591095,5.91789181852194,6.88763936380381
"GSM434049",8.52973409857728,3.68691184458492,10.5383530959645,6.92272237392287,6.22225729966668,7.5010649546235,9.05810730142662,5.0657436660651,9.93739999075407,6.89321057014343,6.78013312216384,8.22401100885341,9.83849289691234
"GSM434050",6.76239315334946,4.77020468563358,9.35853274664955,7.20606328141577,5.86549559029967,7.32317626133097,8.23373852668368,5.73542157034201,10.0464169116779,7.8042706131814,6.94726706453205,7.38864402200562,9.44459703780662
