"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","threshold"
"AHRR",1.3715869101529,5.91292438694135,9.7816682136447,2.21263151800229e-19,5.2043305934932e-15,33.0542139359973,"AHRR","Upregulated"
"ME1",1.16209574385651,7.37025487489944,9.66085142401399,5.25342420530854e-19,5.56240946246896e-15,32.2269419367708,"ME1","Upregulated"
"CYP1A1",2.02770780535959,4.4034752513251,9.61871567034217,7.09460838714633e-19,5.56240946246896e-15,31.9394912604149,"CYP1A1","Upregulated"
"FCGR2B",1.31852562776129,5.60181821522111,8.36701573561151,3.98183416177958e-15,1.47888703528276e-11,23.6827149068589,"FCGR2B","Upregulated"
"CCL2",2.39919743145941,7.06171012117126,8.12567547925573,1.95641271783369e-14,5.11297594846292e-11,22.1612221313055,"CCL2","Upregulated"
"FCN1",1.28840647476308,6.19082505241363,8.09031014867584,2.46506554222244e-14,5.79808066186141e-11,21.9403947433859,"FCN1","Upregulated"
"LPAR3",-1.14419745620691,6.70927845287699,-7.70412929948561,2.96108796598733e-13,4.35298437799926e-10,19.5659972985547,"LPAR3","Downregulated"
"GPR183",1.07861983463878,6.56404351961209,7.30612990211793,3.55755843201803e-12,3.80351508543164e-09,17.1936423985764,"GPR183","Upregulated"
"CYP1B1",1.74296379988878,4.62666024310857,7.26446294296748,4.59365599291513e-12,4.59911981763183e-09,16.9498901433398,"CYP1B1","Upregulated"
"HS3ST2",1.11560313350409,5.81332798873404,7.16787263692056,8.27875156693483e-12,7.21201909651386e-09,16.3883057652086,"HS3ST2","Upregulated"
"SRPX",1.57575877090191,5.14205646382422,7.11529545393616,1.13842516542016e-11,9.23341321236126e-09,16.0846781741012,"SRPX","Upregulated"
"CYTL1",1.07811400947987,3.81862596937441,6.95548042801856,2.97048811906347e-11,2.11723791056036e-08,15.1708415548198,"CYTL1","Upregulated"
"SFRP2",1.48680099327008,4.52055217754552,6.93804183906632,3.29542239920005e-11,2.27975383092895e-08,15.071963643,"SFRP2","Upregulated"
"TIMP3",1.46352245456419,5.71087097561693,6.42153572622764,6.59644762621656e-10,2.34474930074189e-07,12.2209825314411,"TIMP3","Upregulated"
"RNASE6",1.13292825875974,6.79808887144159,6.42099210780031,6.61674418315297e-10,2.34474930074189e-07,12.2180633235828,"RNASE6","Upregulated"
"EDARADD",-1.18191081422129,4.93125071122321,-6.37534195951536,8.55877990615283e-10,2.79598697461973e-07,11.973552986379,"EDARADD","Downregulated"
"SEC14L3",-1.68009258471143,6.29041297742139,-6.27772186547371,1.47772343064655e-09,4.11658131095083e-07,11.4548849557398,"SEC14L3","Downregulated"
"FAR2P2 /// FAR2P3",-1.12763024582095,5.49098938031511,-6.27651908735001,1.48764683232354e-09,4.11658131095083e-07,11.4485304202843,"FAR2P2 /// FAR2P3","Downregulated"
"ITGAM",1.19732163214385,7.32320087779455,6.2480119262142,1.74292766850118e-09,4.60622490908047e-07,11.2981789655508,"ITGAM","Upregulated"
"PHLDA1",1.22925687736117,7.41608891413704,6.23707355528068,1.85188195845954e-09,4.83979061610299e-07,11.2406199060134,"PHLDA1","Upregulated"
