Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Antimicrobial Humoral Immune Response Mediated by Antimicrobial Peptide (GO:0061844)	8/116	2.5295719509845907E-5	0.014547616214019022	0	0	7.440665154950869	78.75851330439433	CXCL6;CCL13;CCL8;CCL7;RNASE6;CCL2;NTS;LTF
Eosinophil Chemotaxis (GO:0048245)	4/19	3.612595264142319E-5	0.014547616214019022	0	0	26.374666666666666	269.77325271150914	CCL13;CCL8;CCL7;CCL2
Eosinophil Migration (GO:0072677)	4/19	3.612595264142319E-5	0.014547616214019022	0	0	26.374666666666666	269.77325271150914	CCL13;CCL8;CCL7;CCL2
Cilium Movement (GO:0003341)	6/63	4.381812112656332E-5	0.014547616214019022	0	0	10.493886230728336	105.31100806287141	SPAG17;SPAG6;DNAH5;TEKT1;ROPN1L;DNAI1
Inflammatory Response (GO:0006954)	11/261	8.00600489901729E-5	0.018053163347345486	0	0	4.456082901554404	42.03304287637605	PTGFR;CCL13;CXCL6;CCL8;CCL7;ALOX15;CYBB;CCL2;TREM2;PTX3;FCGR2B
Phagocytosis (GO:0006909)	6/71	8.632551230437424E-5	0.018053163347345486	0	0	9.198601398601399	86.07485824469063	SRPX;ITGAM;ALOX15;TREM2;CD36;FCGR2B
Long-Chain Fatty Acid Transport (GO:0015909)	4/24	9.5159746559803E-5	0.018053163347345486	0	0	19.776	183.12484112475292	FABP3;PPARG;CD36;SLC27A2
Cellular Response to Low-Density Lipoprotein Particle Stimulus (GO:0071404)	4/25	1.1238455887210676E-4	0.018655836772769722	0	0	18.833333333333332	171.26249878954266	LPL;TREM2;PPARG;CD36
Antimicrobial Humoral Response (GO:0019730)	8/147	1.3558178968980632E-4	0.020005846300895865	0	0	5.772133313757157	51.406246907753776	CXCL6;CCL13;CCL8;CCL7;RNASE6;CCL2;NTS;LTF
Mature B Cell Differentiation Involved in Immune Response (GO:0002313)	3/13	2.7733847906159407E-4	0.033231153591859686	0	0	29.53134328358209	241.86972963766425	GPR183;FCGR2B;DLL1
Regulation of Angiogenesis (GO:0045765)	9/211	3.2716005425510215E-4	0.033231153591859686	0	0	4.476923076923077	35.92758098276809	PPP1R16B;SPARC;SFRP2;GPNMB;ADAMTS1;CYP1B1;PPARG;CD36;ISL1
Monocarboxylic Acid Metabolic Process (GO:0032787)	7/127	3.296792706152411E-4	0.033231153591859686	0	0	5.826226734348562	46.711133608492375	ADH1C;CYP1A1;LPL;PPARG;CD36;UGT2A1;SLC27A2
Extracellular Transport (GO:0006858)	3/14	3.5032842642020753E-4	0.033231153591859686	0	0	26.845318860244234	213.5985239574359	SPAG17;SPAG6;ROPN1L
Negative Regulation by Host of Viral Process (GO:0044793)	3/14	3.5032842642020753E-4	0.033231153591859686	0	0	26.845318860244234	213.5985239574359	CCL8;PTX3;LTF
Regulation of Cholesterol Storage (GO:0010885)	3/15	4.346270790718155E-4	0.038478984067158065	0	0	24.606965174129353	190.4830632950432	LPL;TREM2;PPARG
Granulocyte Chemotaxis (GO:0071621)	5/64	4.918616262465386E-4	0.03916984729555751	0	0	8.405161400221447	64.02474628103327	CXCL6;CCL13;CCL8;CCL7;CCL2
Negative Regulation of Interleukin-10 Production (GO:0032693)	3/16	5.309166049096651E-4	0.03916984729555751	0	0	22.71297359357061	171.27638980886377	LILRB1;FCGR2B;DLL1
Microtubule-Based Transport (GO:0099111)	3/16	5.309166049096651E-4	0.03916984729555751	0	0	22.71297359357061	171.27638980886377	SPAG17;SPAG6;ROPN1L
Negative Regulation of T Cell Proliferation (GO:0042130)	4/39	6.536208093877414E-4	0.04568465446668003	0	0	11.292	82.80404603261489	GPNMB;CRTAM;LILRB1;VSIG4
Negative Regulation of Proteolysis (GO:0045861)	4/40	7.204968607247876E-4	0.04699854830194177	0	0	10.977777777777778	79.43047406241719	SERPINB3;SERPINB4;TIMP3;PTPN3
Negative Regulation of Immune Response (GO:0050777)	5/70	7.431999354975731E-4	0.04699854830194177	0	0	7.626981059141863	54.94893174220877	COL3A1;ALOX15;TREM2;LILRB1;FCGR2B
Import Into Cell (GO:0098657)	3/19	8.981935111747552E-4	0.054218226492730684	0	0	18.45149253731343	129.4395269842083	TREM2;CD36;SLC27A2
Negative Regulation of Lymphocyte Proliferation (GO:0050672)	4/43	9.500283871908798E-4	0.054853812964760364	0	0	10.131794871794872	70.50734990203006	GPNMB;LILRB1;VSIG4;FCGR2B
Response to Amyloid-Beta (GO:1904645)	4/45	0.001128925665016884	0.062030050915143714	0	0	9.636585365853659	65.39857901620994	MMP12;TREM2;CD36;FCGR2B
Outer Dynein Arm Assembly (GO:0036158)	3/21	0.0012144437679169702	0.062030050915143714	0	0	16.39966832504146	110.09866673405018	DNAH5;DAW1;DNAI1
Epithelial Cilium Movement Involved in Extracellular Fluid Movement (GO:0003351)	3/21	0.0012144437679169702	0.062030050915143714	0	0	16.39966832504146	110.09866673405018	SPAG17;SPAG6;ROPN1L
