Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Specific Granule (GO:0042581)	9/159	3.8096853971069236E-5	0.0051430752860943466	0	0	6.044923076923077	61.50938243997047	CHIT1;ITGAM;CLEC5A;CYBB;MCEMP1;PTX3;CD36;SLC27A2;LTF
Lamellar Body (GO:0042599)	3/12	2.1495044635631852E-4	0.014388061300466142	0	0	32.814262023217246	277.1198239172691	NAPSA;SFTPC;SFTPA1
Specific Granule Membrane (GO:0035579)	6/90	3.197346955659143E-4	0.014388061300466142	0	0	7.111111111111111	57.23035720818418	ITGAM;CLEC5A;CYBB;MCEMP1;CD36;SLC27A2
Tertiary Granule (GO:0070820)	7/163	0.0014448984659705588	0.03359951800396244	0	0	4.473512950670311	29.255505229157684	CHIT1;ITGAM;CLEC5A;CYBB;MCEMP1;PTX3;LTF
Multivesicular Body Lumen (GO:0097486)	2/6	0.0015116345112816804	0.03359951800396244	0	0	48.99009900990099	318.1693214221626	NAPSA;SFTPC
Alveolar Lamellar Body (GO:0097208)	2/6	0.0015116345112816804	0.03359951800396244	0	0	48.99009900990099	318.1693214221626	NAPSA;SFTPC
Membrane Raft (GO:0045121)	7/171	0.0018995470166855248	0.03359951800396244	0	0	4.25355948990962	26.653398553906907	MMP12;ITGAM;ITLN1;TREM2;CD36;DLL1;MS4A4A
Collagen-Containing Extracellular Matrix (GO:0062023)	11/383	0.0019910825483829596	0.03359951800396244	0	0	2.975987520196111	18.50789492606926	FCN1;COLEC12;SRPX;COL3A1;COL15A1;SPARC;SFRP2;ADAMTS1;COL6A2;TIMP3;AEBP1
Late Endosome Lumen (GO:0031906)	2/8	0.0027839903939959804	0.037583870318945736	0	0	32.65676567656766	192.14816343516293	NAPSA;SFTPC
Outer Dynein Arm (GO:0036157)	2/8	0.0027839903939959804	0.037583870318945736	0	0	32.65676567656766	192.14816343516293	DNAH5;DNAI1
Phagocytic Vesicle (GO:0045335)	5/100	0.003616520818054675	0.04438457367612556	0	0	5.2105263157894735	29.294844142785596	SEC14L3;CYBB;CD36;ATP6V0D2;LTF
Tertiary Granule Membrane (GO:0070821)	4/72	0.006298197899753762	0.07085472637222982	0	0	5.802352941176471	29.4033755681036	ITGAM;CLEC5A;CYBB;MCEMP1
Endocytic Vesicle Membrane (GO:0030666)	6/165	0.0070117183494083	0.07281399824385543	0	0	3.7425195349723652	18.56354240200127	COLEC12;SEC14L3;CD163;CYBB;CD36;ATP6V0D2
Secretory Granule Membrane (GO:0030667)	8/279	0.00805000540700978	0.07762505213902288	0	0	2.9407334889675427	14.180459540994525	MMP12;SPARC;ITGAM;CLEC5A;CYBB;MCEMP1;CD36;SLC27A2
Plasma Membrane Raft (GO:0044853)	4/83	0.010319600846011499	0.09287640761410348	0	0	4.991645569620253	22.83034024352271	ITGAM;TREM2;CD36;MS4A4A
Platelet Alpha Granule Membrane (GO:0031092)	2/16	0.011308393132852779	0.09541456705844532	0	0	13.990099009900991	62.7065627163399	SPARC;CD36
