Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Chemokine Activity (GO:0008009)	5/42	6.579167477052034E-5	0.008376519856056386	0	0	13.417764498166509	129.19988582111893	CCL13;CXCL6;CCL8;CCL7;CCL2
Lipoprotein Particle Binding (GO:0071813)	4/23	7.993563133911646E-5	0.008376519856056386	0	0	20.817894736842106	196.40203230914616	COLEC12;LPL;TREM2;CD36
Chemokine Receptor Binding (GO:0042379)	5/46	1.0256963089048636E-4	0.008376519856056386	0	0	12.10626302242922	111.1956465023294	CCL13;CXCL6;CCL8;CCL7;CCL2
CCR Chemokine Receptor Binding (GO:0048020)	4/43	9.500283871908798E-4	0.05818923871544139	0	0	10.131794871794872	70.50734990203006	CCL13;CCL8;CCL7;CCL2
[Heparan Sulfate]-Glucosamine 3-Sulfotransferase Activity (GO:0008467)	2/6	0.0015116345112816804	0.07407009105280234	0	0	48.99009900990099	318.1693214221626	HS3ST6;HS3ST2
MHC Class Ib Protein Binding (GO:0023029)	2/7	0.0021020875228563037	0.08583524051663241	0	0	39.19009900990099	241.60007741930562	SEC14L3;LILRB1
Prostaglandin Receptor Activity (GO:0004955)	2/9	0.0035554345894270433	0.12444021062994652	0	0	27.99009900990099	157.84394888758456	PTGFR;PPARG
Complement Component C3b Binding (GO:0001851)	2/10	0.004414540647712871	0.13496243285985762	0	0	24.49009900990099	132.80617000141103	ITGAM;VSIG4
Carboxypeptidase Activity (GO:0004180)	3/34	0.004957803656076403	0.13496243285985762	0	0	9.516129032258064	50.50012167867984	CPM;AGBL2;AEBP1
Oxidoreductase, Paired Donors, W Incorp or Reduc of O2, Reduced Flavin or Flavoprotein as One Donor, and Incorp of O (GO:0016712)	3/36	0.00582805271797298	0.142787291590338	0	0	8.938489371325192	45.98917447095539	CYP1A1;CYP1B1;CYP2F1
Long-Chain Fatty Acid Transmembrane Transporter Activity (GO:0005324)	2/13	0.007499463418107064	0.15346347188851917	0	0	17.808280828082808	87.13456119433339	CD36;SLC27A2
Endopeptidase Inhibitor Activity (GO:0004866)	5/119	0.0075165782149478775	0.15346347188851917	0	0	4.337917658467777	21.21521213657532	SERPINB3;SERPINB4;SERPINB11;TIMP3;LTF
Heparan Sulfate Sulfotransferase Activity (GO:0034483)	2/14	0.008690990362893284	0.16379174145452727	0	0	16.323432343234323	77.46233204422032	HS3ST6;HS3ST2
Fatty Acid Transmembrane Transporter Activity (GO:0015245)	2/15	0.009961204596400444	0.17432108043700778	0	0	15.067022086824068	69.44476770588811	CD36;SLC27A2
Low-Density Lipoprotein Particle Binding (GO:0030169)	2/16	0.011308393132852779	0.18470375450326204	0	0	13.990099009900991	62.7065627163399	COLEC12;TREM2
