Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Phagosome	10/152	3.730386132847805E-6	5.819402367242576E-4	0	0	7.1344562218672865	89.17355981852457	COLEC12;TUBB6;ITGAM;MRC1;CYBB;CD36;ITGA5;SFTPA1;FCGR2B;ATP6V0D2
PPAR signaling pathway	6/74	1.088679674200196E-4	0.006569037721459457	0	0	8.79144385026738	80.22521944625375	FABP3;ME1;LPL;PPARG;CD36;SLC27A2
Metabolism of xenobiotics by cytochrome P450	6/76	1.2632764848960495E-4	0.006569037721459457	0	0	8.539393939393939	76.65499383410645	ADH1C;GSTA1;CYP1A1;CYP1B1;UGT2A1;CYP2F1
Pertussis	5/76	0.0010799495525456741	0.042118032549281294	0	0	6.980324155991224	47.68148408582792	CXCL6;ITGAM;LY96;ITGA5;SFTPA1
Viral protein interaction with cytokine and cytokine receptor	5/100	0.003616520818054675	0.11283544952330586	0	0	5.2105263157894735	29.294844142785596	CXCL6;CCL13;CCL8;CCL7;CCL2
Ferroptosis	3/41	0.008383587281568341	0.19738416177669837	0	0	7.760408483896308	37.106233142458976	ALOX15;CYBB;CP
Osteoclast differentiation	5/127	0.009805957431766838	0.19738416177669837	0	0	4.05181645934591	18.738699663976142	ACP5;TREM2;PPARG;LILRB1;FCGR2B
Lysosome	5/128	0.010122264706497353	0.19738416177669837	0	0	4.0186705887159375	18.457825767062335	NAPSA;DNASE2B;AP1S2;ACP5;ATP6V0D2
ECM-receptor interaction	4/88	0.012592912743933884	0.2182771542281873	0	0	4.693333333333333	20.53155504771455	COL6A2;SPP1;CD36;ITGA5
Rheumatoid arthritis	4/93	0.015163630641969168	0.22286018657804596	0	0	4.428539325842697	18.550511042696886	CXCL6;ACP5;CCL2;ATP6V0D2
IL-17 signaling pathway	4/94	0.015714500335631446	0.22286018657804596	0	0	4.379111111111111	18.187199044304176	CXCL6;CCL7;CCL2;MUC5B
Amoebiasis	4/102	0.020575884645902813	0.2539184504644088	0	0	4.02	15.612214859494337	SERPINB3;SERPINB4;COL3A1;ITGAM
NF-kappa B signaling pathway	4/104	0.02192006144405617	0.2539184504644088	0	0	3.9392	15.049134591966864	EDARADD;CCL13;BCL2A1;LY96
Lipid and atherosclerosis	6/215	0.02320164954813468	0.2539184504644088	0	0	2.839930404523706	10.688168675819027	CYP1A1;CYBB;LY96;CCL2;PPARG;CD36
Steroid hormone biosynthesis	3/61	0.02441523562157777	0.2539184504644088	0	0	5.0792588780236745	18.85699203773558	CYP1A1;CYP1B1;UGT2A1
Collecting duct acid secretion	2/27	0.0307436386090805	0.29636317635883946	0	0	7.83009900990099	27.264969933974623	CA2;ATP6V0D2
Retinol metabolism	3/68	0.03229598716730943	0.29636317635883946	0	0	4.530654420206659	15.552886188013064	ADH1C;CYP1A1;UGT2A1
Galactose metabolism	2/31	0.03966628721748877	0.343774489218236	0	0	6.748719699556163	21.77983021931005	HK3;AKR1B10
Fructose and mannose metabolism	2/33	0.04445060060490756	0.35082912955806217	0	0	6.31267965506228	19.653750416678832	HK3;AKR1B10
Pentose and glucuronate interconversions	2/34	0.04691890447308999	0.35082912955806217	0	0	6.11509900990099	18.708134009682176	AKR1B10;UGT2A1
Chemokine signaling pathway	5/192	0.047226998209739135	0.35082912955806217	0	0	2.6346975519307767	8.04317716434906	CXCL6;CCL13;CCL8;CCL7;CCL2
Neomycin, kanamycin and gentamicin biosynthesis	1/5	0.049974817934996855	0.3543668908117959	0	0	24.374384236453203	73.03140854408878	HK3
Complement and coagulation cascades	3/85	0.056231566767368284	0.3813967137264979	0	0	3.588278121587186	10.32805836370503	ITGAM;C7;VSIG4
Tryptophan metabolism	2/42	0.06832955839825983	0.40427280645106917	0	0	4.8900990099009904	13.122154437760411	CYP1A1;CYP1B1
Porphyrin and chlorophyll metabolism	2/43	0.07119624540444684	0.40427280645106917	0	0	4.770586814779039	12.605394029939811	UGT2A1;CP
Staphylococcus aureus infection	3/95	0.07330308243169056	0.40427280645106917	0	0	3.1966255678131086	8.353270473532973	ITGAM;KRT15;FCGR2B
Riboflavin metabolism	1/8	0.07875856181675209	0.40427280645106917	0	0	13.926108374384237	35.39137016593114	ACP5
Hematopoietic cell lineage	3/99	0.08070590542287152	0.40427280645106917	0	0	3.0628109452736316	7.708922188952571	ITGAM;CD36;ITGA5
AGE-RAGE signaling pathway in diabetic complications	3/100	0.08260556070072551	0.40427280645106917	0	0	3.0310817048776735	7.558542612022745	COL3A1;CYBB;CCL2
Pyruvate metabolism	2/47	0.083037804906241	0.40427280645106917	0	0	4.345654565456545	10.813984492303446	ADH1C;ME1
Amino sugar and nucleotide sugar metabolism	2/48	0.0860866518338643	0.40427280645106917	0	0	4.250968575118382	10.425079204265643	CHIT1;HK3
Pancreatic secretion	3/102	0.08646224100602967	0.40427280645106917	0	0	2.9695462083521784	7.269590113610033	CA2;CLCA2;CLCA4
Protein digestion and absorption	3/103	0.08841886674278829	0.40427280645106917	0	0	2.9397014925373135	7.130745447240052	COL15A1;COL3A1;COL6A2
Cholesterol metabolism	2/50	0.09228339151793027	0.40427280645106917	0	0	4.073432343234323	9.706545652223769	LPL;CD36
Malaria	2/50	0.09228339151793027	0.40427280645106917	0	0	4.073432343234323	9.706545652223769	CCL2;CD36
Ovarian steroidogenesis	2/51	0.09542932219954067	0.40427280645106917	0	0	3.99009900990099	9.374216465643885	CYP1A1;CYP1B1
Chemical carcinogenesis	5/239	0.09842210050593204	0.40427280645106917	0	0	2.1004595627711207	4.869894284804255	GSTA1;CYP1A1;CYP1B1;UGT2A1;DLL1
Drug metabolism	3/108	0.09847670926372197	0.40427280645106917	0	0	2.799004975124378	6.487912193032809	ADH1C;GSTA1;UGT2A1
Leukocyte transendothelial migration	3/114	0.11112294716819258	0.4395373592032239	0	0	2.646900631975259	5.815553177556838	ITGAM;CLDN8;CYBB
Tuberculosis	4/180	0.11270188697518561	0.4395373592032239	0	0	2.2295454545454545	4.867118048977042	ITGAM;MRC1;FCGR2B;ATP6V0D2
Glycerolipid metabolism	2/61	0.12841205056805619	0.48859219240528695	0	0	3.312132908206075	6.798189361212573	AKR1B10;LPL
Transcriptional misregulation in cancer	4/192	0.13360269089817056	0.49623856619320494	0	0	2.0859574468085107	4.198792197972609	ITGAM;BCL2A1;PPARG;PROM1
Acute myeloid leukemia	2/67	0.1492991255135835	0.5094055794066568	0	0	3.0054836252856054	5.71583907247848	ITGAM;BCL2A1
Glycolysis / Gluconeogenesis	2/67	0.1492991255135835	0.5094055794066568	0	0	3.0054836252856054	5.71583907247848	HK3;ADH1C
PI3K-Akt signaling pathway	6/354	0.15464538429483016	0.5094055794066568	0	0	1.6934865900383143	3.1610969995548945	COL6A2;MYB;SPP1;LPAR3;ITGA5;FGFR3
Renin secretion	2/69	0.15640667859273272	0.5094055794066568	0	0	2.9154721442293483	5.409063077799617	CLCA2;CLCA4
Central carbon metabolism in cancer	2/70	0.1599844310262211	0.5094055794066568	0	0	2.8724519510774607	5.264281721708895	HK3;FGFR3
