Top 50 in network string_interactions_short.tsv ranked by Degree method
Rank,Name,Score
1,CCL2,29.0
2,ITGAM,25.0
3,TEKT1,22.0
4,CD163,21.0
5,MRC1,20.0
6,SPP1,19.0
7,CYBB,17.0
7,CD36,17.0
7,ARMC3,17.0
10,TREM2,16.0
11,MMP12,14.0
11,PPARG,14.0
13,WDR38,13.0
13,CAPSL,13.0
13,LTF,13.0
16,C11orf88,11.0
16,CCDC114,11.0
16,COL3A1,11.0
19,DNAI1,10.0
19,C20orf85,10.0
19,SPAG6,10.0
19,KRT5,10.0
19,FCGR2B,10.0
19,DNAH5,10.0
25,FCN1,9.0
25,MORN5,9.0
25,VSIG4,9.0
25,ACP5,9.0
25,MS4A4A,9.0
25,COL6A2,9.0
31,CFAP299,8.0
31,PACRG,8.0
31,ENKUR,8.0
31,CCL7,8.0
31,FAM216B,8.0
36,CLEC5A,7.0
36,SPAG17,7.0
36,CCL13,7.0
36,DAW1,7.0
36,C1orf87,7.0
36,CCL8,7.0
36,LPL,7.0
36,SPARC,7.0
36,MAP3K19,7.0
45,C1orf158,6.0
45,SCGB1A1,6.0
45,FABP3,6.0
45,MUC5B,6.0
45,CHIT1,6.0
45,CFAP47,6.0
