"Gene","CompositeScore","top5_scores.Closeness.centrality..Latora.","top5_scores.Harmonic.Centrality","top5_scores.Decay.Centrality","top5_scores.Residual.Closeness.Centrality","top5_scores.Dangalchev.Closeness.Centrality"
"CCL2",2.75042217704349,63.1190476190476,63.1190476190476,28.875,28.875,27.875
"ITGAM",2.49315593966669,60.8690476190476,60.8690476190476,27.6875,27.6875,26.6875
"SPP1",2.39119785646598,59.75,59.75,27.3125,27.3125,26.3125
"CD163",1.89812919101128,56.1190476190476,56.1190476190476,24.75,24.75,23.75
"LTF",1.83145419838275,55.25,55.25,24.5625,24.5625,23.5625
"MRC1",1.81911134392867,55.4523809523809,55.4523809523809,24.375,24.375,23.375
"CYBB",1.73495119516029,54.5357142857143,54.5357142857143,24.0625,24.0625,23.0625
"MMP12",1.60043756137652,53.3690476190476,53.3690476190476,23.4375,23.4375,22.4375
"TREM2",1.58536716693332,53.3690476190476,53.3690476190476,23.3125,23.3125,22.3125
"PPARG",1.58022486524755,53.1190476190476,53.1190476190476,23.375,23.375,22.375
"CD36",1.50417603432373,52.6595238095238,52.6595238095238,22.9375,22.9375,21.9375
"KRT5",1.44812599316042,52,52,22.75,22.75,21.75
"LUM",1.43909250295882,52.1190476190476,52.1190476190476,22.625,22.625,21.625
"SCGB1A1",1.4303774946901,51.65,51.65,22.75,22.75,21.75
"TEKT1",1.36948509694263,52.5666666666667,52.5666666666667,21.859375,21.859375,20.859375
"COL3A1",1.31633989936579,51.0357142857143,51.0357142857143,22.0625,22.0625,21.0625
"DNAI1",1.18984156332275,50.25,50.25,21.34375,21.34375,20.34375
"MUC5B",1.15902863370956,49.7166666666667,49.7166666666667,21.3125,21.3125,20.3125
"FCN1",1.07513182727165,49.102380952381,49.102380952381,20.875,20.875,19.875
"LPL",1.05907366198898,48.7857142857143,48.7857142857143,20.875,20.875,19.875
