"","subgraph.centrality.scores","Topological.Coefficient","Average.Distance","Barycenter.Centrality","BottleNeck.Centrality","Centroid.value","Closeness.Centrality..Freeman.","Decay.Centrality","Degree.Centrality","Diffusion.Degree","DMNC...Density.of.Maximum.Neighborhood.Component","Eccentricity.Centrality","eigenvector.centralities","K.core.Decomposition","Geodesic.K.Path.Centrality","Kleinberg.s.authority.centrality.scores","Kleinberg.s.hub.centrality.scores","Lin.Centrality","Lobby.Index..Centrality.","Markov.Centrality","Radiality.Centrality","Shortest.Paths.Betweenness.Centrality","Current.Flow.Closeness.Centrality","Closeness.centrality..Latora.","Cross.Clique.Connectivity","Entropy.Centrality","EPC...Edge.Percolated.Component","Laplacian.Centrality","Leverage.Centrality","MNC...Maximum.Neighborhood.Component","Semi.Local.Centrality","Residual.Closeness.Centrality","Stress.Centrality","Load.Centrality","Flow.Betweenness.Centrality","Information.Centrality","Harary.Centrality","Dangalchev.Closeness.Centrality","Group.Centrality","Harmonic.Centrality","Local.Bridging.Centrality","Wiener.Index.Centrality"
"ACP5",2898.75184099351,0.260981912144703,3.44274809160305,0.00221729490022173,6,-91,0.00221729490022173,19.625,9,110,0.0501750035468149,7,0.293845495965686,5,71,0.293845495965686,0.293845495965686,36.8980044345898,6,0.00496998781360436,6.58139534883721,172.039963961462,1.13779987544753,47.2690476190476,33,12.0224545108465,770.792307692308,292,0.029932589384922,6,4906,19.625,0,40,0,1.14662002952077,0.142857142857143,18.625,1.29328120136944,47.2690476190476,0.0736178948113541,451
"ADAMTS1",280.599923043176,0.435897435897436,4.06106870229008,0.0018796992481203,0,-113,0.0018796992481203,14.65625,3,38,0,8,0.0905215005337775,3,60,0.0905215005337776,0.0905215005337776,31.2800751879699,3,0.00253035633787612,5.95348837209302,3.45874125874126,0.898303298901446,39.0761904761905,5,12.0224545108465,685.784615384615,82,-0.550915750915751,2,1612,14.65625,0,43,0,0.905266890365799,0.125,13.65625,0.518540669856459,39.0761904761905,1.11702127659574,532
"ADH1C",2.53943406844574,0.5,4.72519083969466,0.00161550888529887,1,-119,0.00161550888529887,8.40625,2,8,0,8,0.00161051680193811,2,16,0.00161051680193815,0.00161051680193813,26.8836833602585,2,0.00119079009426303,5.27906976744186,15.8040209568231,0.610385878982691,30.3928571428571,3,12.0224545108465,390.923076923077,18,-0.166666666666667,1,103,8.40625,0,33,0,0.615117552463178,0.125,7.40625,0.866666666666667,30.3928571428571,0.666666666666667,619
"AEBP1",197.370343373464,0.705882352941177,4.09160305343511,0.00186567164179104,3,-110,0.00186567164179104,13.625,3,39,0,8,0.0727323597605739,3,61,0.072732359760574,0.072732359760574,31.0466417910448,3,0.00250886795239405,5.92248062015504,0,0.895844132583886,37.7428571428571,8,12.0224545108465,672.192307692308,84,-0.595173453996983,3,1504,13.625,0,34,0,0.902788660743452,0.125,12.625,0.484498834498835,37.7428571428571,1.30841121495327,536
"AHRR",5.05220955801415,0.785714285714286,4.90076335877863,0.00155763239875389,3,-116,0.00155763239875389,9.375,2,13,0,9,0.00621029822251712,2,32,0.00621029822251717,0.00621029822251714,25.9205607476636,2,0.00130355049563906,5.10077519379845,0,0.644655898954426,31.1376984126984,4,12.0224545108465,474.7,28,-0.464285714285714,2,214,9.375,0,22,0,0.649653231504461,0.111111111111111,8.375,0.642857142857143,31.1376984126984,1.36363636363636,642
"AKR1B10",8.43331418114894,0.5,4.76335877862595,0.0016025641025641,5,-121,0.0016025641025641,10.125,2,9,0,9,0.0133431437244195,2,39,0.0133431437244195,0.0133431437244194,26.6682692307692,2,0.00129822362722674,5.24031007751938,42.6535732241615,0.641936343577964,32.2376984126984,3,12.0224545108465,447.653846153846,20,-0.214285714285714,1,223,10.125,34,62,30,0.646912594303375,0.111111111111111,9.125,0.833333333333333,32.2376984126984,0.714285714285714,624
"ALOX15",399.024268589866,0.653846153846154,4.06870229007634,0.00187617260787992,0,-114,0.00187617260787992,14.3125,2,36,0,8,0.108969655885932,2,60,0.108969655885932,0.108969655885932,31.2213883677298,2,0.0019106292699315,5.94573643410853,0,0.788523656464719,38.4595238095238,4,12.0224545108465,577.507692307692,74,-0.784090909090909,2,1639,14.3125,0,12,0,0.794636242948943,0.125,13.3125,0.447619047619048,38.4595238095238,4.11764705882353,533
"ANKFN1",1.66888151200882,1,5.47328244274809,0.00139470013947001,0,-128,0.00139470013947001,5.87109375,1,3,0,8,1.32814255175683e-05,1,12,1.32814255175927e-05,1.3281425517579e-05,23.2092050209205,1,0.000513065754601249,4.51937984496124,0,0.337945392934549,25.8107142857143,2,12.0224545108465,184.823076923077,6,-0.333333333333333,1,38,5.87109375,0,2,0,0.340565124662724,0.125,4.87109375,0.833333333333333,25.8107142857143,2,717
"ARMC3",1643.76279017987,0.230989956958393,4.06870229007634,0.00187617260787992,63,-88,0.00187617260787992,18.3359375,17,178,0.0793218456465995,7,0.00131325648116787,5,47,0.00131325648116839,0.00131325648116816,31.2213883677298,9,0.00325183642321943,5.94573643410853,502.057448753605,1.01557997055365,46.2309523809524,112,12.0224545108465,719.623076923077,628,0.310011389576607,17,5020,18.3359375,0,48,0,1.02345268350368,0.142857142857143,17.3359375,1.89199918439049,46.2309523809524,0.028099242507239,533
"ATP12A",241.493076628606,0.322916666666667,4.06106870229008,0.0018796992481203,2,-116,0.0018796992481203,14.6875,4,36,0,8,0.0840384762356902,3,60,0.0840384762356903,0.0840384762356904,31.2800751879699,4,0.0026836690174573,5.95348837209302,17.9586413586414,0.921514560810572,39.2928571428571,7,12.0224545108465,711.307692307692,84,-0.167582417582418,3,1401,14.6875,9,47,25,0.928658084537787,0.125,13.6875,0.888888888888889,39.2928571428571,0.271758436944938,532
"C11orf88",973.40869857884,0.323529411764706,4.17557251908397,0.00182815356489945,8,-102,0.00182815356489945,15.8984375,11,132,0.0547010257795201,7,0.00086672095092301,5,46,0.000866720950923373,0.000866720950923175,30.4223034734918,8,0.00293128856736021,5.83720930232558,33.3430171447093,0.975070265389311,41.9809523809524,79,12.0224545108465,719.623076923077,374,0.037799043062201,11,3845,15.8984375,0,3,0,0.724499733283506,0.125,14.8984375,1.11335560574691,41.9809523809524,0.079202434950101,547
"C1orf158",332.493737478893,0.419540229885057,4.25190839694656,0.00179533213644524,2,-112,0.00179533213644524,14.0234375,6,79,0.0501750035468149,7,0.000516896776667409,5,46,0.000516896776667615,0.000516896776667564,29.8761220825853,6,0.00241354437484898,5.75968992248062,14.7973304473304,0.897706432382945,38.647619047619,23,12.0224545108465,712.769230769231,188,-0.268819281405094,6,2329,14.0234375,5,44.8333333333333,19,0.982628949617137,0.142857142857143,13.0234375,0.702208419599724,38.647619047619,0.264046835456787,557
"C1orf87",340.176694915147,0.347619047619048,4.22900763358779,0.00180505415162455,2,-109,0.00180505415162455,14.4609375,7,80,0.0387870074129426,7,0.000505527919285568,5,47,0.000505527919285822,0.000505527919285821,30.0379061371841,6,0.00254503750207181,5.78294573643411,25.0544964178425,0.919399264064957,39.397619047619,22,12.0224545108465,713.953846153846,202,-0.132743884468022,7,2339,14.4609375,1,12.3333333333333,5,0.904665396975062,0.142857142857143,13.4609375,0.854986197377502,39.397619047619,0.17212670772564,554
"C20orf85",601.38850526202,0.303225806451613,4.19847328244275,0.00181818181818182,10,-105,0.00181818181818182,15.3984375,10,105,0.0509853030340417,7,0.000625432591740501,5,46,0.000625432591740816,0.000625432591740635,30.2563636363636,7,0.00266527726444958,5.81395348837209,242.371643815122,0.938366190790815,41.147619047619,45,12,713.130769230769,300,0.151035458100675,9,3040,15.3984375,6,26.6666666666667,13,0.926526390142981,0.142857142857143,14.3984375,1.76057782796913,41.147619047619,0.0404198274966227,550
